id,name,description,category,brand,price,rating,in_stock,tags,date_added
P001,Wireless ANC Headphones Pro,"Over-ear wireless headphones with adaptive noise cancellation, spatial audio, and 40-hour battery life",Electronics,SoundMax,89.99,4.6,true,"bluetooth,headphones,wireless,audio,anc",2026-01-06T00:00:00Z
P002,RGB Mechanical Keyboard TKL,"Tenkeyless mechanical keyboard with hot-swappable switches, RGB lighting, and macro support",Electronics,KeyMaster,109.99,4.7,true,"keyboard,gaming,mechanical,rgb,hot-swappable",2026-01-12T00:00:00Z
P003,Adjustable Aluminum Laptop Stand,"Foldable ergonomic laptop stand with adjustable angle, airflow design, and anti-slip pads",Electronics,ErgoTech,34.99,4.4,true,"laptop,stand,ergonomic,aluminum,foldable",2026-01-18T00:00:00Z
P004,Ultra HD Streaming Webcam,"4K webcam with autofocus, dual microphones, privacy cover, and low-light correction",Electronics,VisionPro,74.99,4.5,true,"webcam,4k,streaming,camera,autofocus",2026-01-25T00:00:00Z
P005,Outdoor Bluetooth Speaker,"Rugged waterproof speaker with bass boost, party pairing, and 24-hour playtime",Electronics,SoundMax,54.99,4.5,true,"speaker,bluetooth,portable,waterproof,bass",2026-02-01T00:00:00Z
P006,USB-C Triple Display Dock,"13-in-1 USB-C docking station with triple display output, Ethernet, SD reader, and 100W charging",Electronics,TechConnect,84.99,4.3,true,"usb-c,docking,hub,hdmi,ethernet",2026-02-08T00:00:00Z
P007,Esports Wireless Mouse,"Lightweight wireless gaming mouse with 30000 DPI sensor, low-latency mode, and RGB accents",Electronics,KeyMaster,64.99,4.8,true,"mouse,gaming,wireless,dpi,rgb",2026-02-14T00:00:00Z
P008,Compact ANC Earbuds,"True wireless earbuds with adaptive ANC, transparency mode, and compact charging case",Electronics,SoundMax,99.99,4.5,false,"earbuds,wireless,anc,bluetooth,charging-case",2026-02-20T00:00:00Z
P009,Smart Display Home Hub,"Voice-controlled smart home display with Zigbee, Matter support, and video calling",Electronics,SmartLife,139.99,4.2,true,"smart-home,hub,display,voice,matter",2026-02-27T00:00:00Z
P010,QHD Curved Gaming Monitor,"27-inch curved QHD gaming monitor with 180Hz refresh rate, 1ms response, and HDR support",Electronics,VisionPro,329.99,4.7,true,"monitor,gaming,curved,qhd,180hz",2026-03-03T00:00:00Z
P011,Fast Charge Power Bank 20000mAh,"Slim high-capacity power bank with USB-C PD, digital battery display, and dual device charging",Electronics,TechConnect,39.99,4.4,true,"power-bank,charger,usb-c,portable,fast-charging",2026-03-06T00:00:00Z
P012,GPS Fitness Band,"Fitness tracker with GPS, SpO2, heart-rate monitoring, sleep tracking, and 10-day battery life",Electronics,FitGear,69.99,4.4,true,"fitness,tracker,gps,heart-rate,health",2026-03-10T00:00:00Z
P013,Anti-Fatigue Standing Mat,Cushioned standing desk mat with beveled edges and massage texture for long work sessions,Electronics,ErgoTech,42.99,4.1,true,"desk,mat,standing,ergonomic,comfort",2026-03-14T00:00:00Z
P014,Magnetic Wireless Charging Pad,"Qi2 magnetic wireless charger with fast charging, LED status light, and compact design",Electronics,TechConnect,24.99,4.3,true,"charger,wireless,qi2,magnetic,fast-charging",2026-03-17T00:00:00Z
P015,Smart RGB Light Strip 10m,"WiFi RGB light strip with app control, voice assistant support, and music sync mode",Electronics,SmartLife,32.99,4.4,true,"led,light-strip,rgb,wifi,smart-home",2026-03-22T00:00:00Z
P016,Pro Digital Art Tablet,"Drawing tablet with 8192 pressure levels, tilt recognition, shortcut keys, and large active area",Electronics,CreativePro,179.99,4.6,true,"tablet,drawing,digital-art,pressure,creative",2026-03-26T00:00:00Z
P017,Podcast USB Microphone Bundle,"USB condenser microphone kit with boom arm, pop filter, shock mount, and headphone monitoring",Electronics,SoundMax,79.99,4.5,true,"microphone,usb,podcast,streaming,condenser",2026-03-30T00:00:00Z
P018,Organic Cotton Crew T-Shirt,Soft slim-fit crew neck t-shirt made from breathable organic cotton for everyday wear,Clothing,UrbanWear,22.99,4.3,true,"tshirt,cotton,organic,casual,slim-fit",2026-01-05T00:00:00Z
P019,Vintage Denim Trucker Jacket,"Classic blue denim jacket with durable stitching, metal buttons, and relaxed vintage fit",Clothing,DenimCo,74.99,4.5,true,"jacket,denim,vintage,blue,casual",2026-01-11T00:00:00Z
P020,Breathable Running Shoes,"Lightweight running shoes with responsive foam cushioning, mesh upper, and durable rubber outsole",Clothing,SportStep,94.99,4.6,true,"shoes,running,mesh,lightweight,sport",2026-01-17T00:00:00Z
P021,Stretch Slim Chinos,"Modern slim-fit chino pants with stretch fabric, wrinkle resistance, and tapered leg opening",Clothing,UrbanWear,46.99,4.3,true,"pants,chino,stretch,slim-fit,casual",2026-01-24T00:00:00Z
P022,Merino Wool Crew Sweater,"Premium merino wool sweater with soft texture, temperature regulation, and classic crew neck",Clothing,NordicKnit,84.99,4.7,true,"sweater,merino,wool,crew-neck,warm",2026-02-02T00:00:00Z
P023,All-Terrain Hiking Boots,"Waterproof hiking boots with ankle support, grippy outsole, and reinforced toe protection",Clothing,TrailBlaze,134.99,4.8,true,"boots,hiking,waterproof,outdoor,ankle-support",2026-02-09T00:00:00Z
P024,Polarized Titanium Sunglasses,"Lightweight polarized sunglasses with UV400 protection, titanium frame, and scratch-resistant lenses",Clothing,SunShield,64.99,4.4,true,"sunglasses,polarized,uv400,titanium,accessory",2026-02-16T00:00:00Z
P025,Packable Hooded Windbreaker,"Lightweight water-resistant windbreaker with hood, zip pockets, and compact packable design",Clothing,SportStep,57.99,4.2,true,"jacket,windbreaker,hooded,packable,water-resistant",2026-02-22T00:00:00Z
P026,Compression Running Socks 3 Pack,"Athletic compression socks with arch support, breathable fabric, and recovery-focused fit",Clothing,FitGear,21.99,4.2,true,"socks,compression,running,athletic,recovery",2026-03-01T00:00:00Z
P027,Classic Leather Belt,"Genuine brown leather belt with brushed metal buckle, stitched edges, and adjustable fit",Clothing,UrbanWear,32.99,4.3,true,"belt,leather,brown,classic,accessory",2026-03-07T00:00:00Z
P028,Thermal Performance Base Layer,"Moisture-wicking thermal top for cold-weather workouts, hiking, and layering",Clothing,TrailBlaze,47.99,4.5,true,"base-layer,thermal,cold-weather,moisture-wicking,outdoor",2026-03-13T00:00:00Z
P029,Relaxed Linen Shirt,"Breathable pure linen shirt with relaxed summer fit, button closure, and soft washed finish",Clothing,UrbanWear,42.99,4.2,true,"shirt,linen,summer,breathable,relaxed",2026-03-19T00:00:00Z
P030,Sport Tapered Joggers,"Comfortable tapered jogger pants with zip pockets, stretch fabric, and moisture management",Clothing,SportStep,48.99,4.4,true,"jogger,pants,sport,tapered,zip-pockets",2026-03-25T00:00:00Z
P031,Canvas Laptop Backpack 28L,"Durable canvas backpack with padded laptop sleeve, organizer pockets, and water-resistant base",Clothing,TrailBlaze,67.99,4.4,true,"backpack,canvas,laptop,travel,durable",2026-03-31T00:00:00Z
P032,Insulated Steel Water Bottle,Double-wall stainless steel water bottle with leakproof lid and 24-hour cold retention,Home & Kitchen,HomeEssentials,27.99,4.6,true,"water-bottle,insulated,stainless-steel,leakproof",2026-01-04T00:00:00Z
P033,Ceramic Non-Stick Cookware Set,"10-piece ceramic non-stick cookware set with glass lids, induction base, and cool-touch handles",Home & Kitchen,ChefPro,139.99,4.5,true,"cookware,non-stick,ceramic,kitchen,pans",2026-01-10T00:00:00Z
P034,Grind and Brew Coffee Maker,"Programmable 12-cup coffee maker with built-in grinder, strength control, and thermal carafe",Home & Kitchen,BrewMaster,99.99,4.5,true,"coffee,maker,grinder,programmable,automatic",2026-01-16T00:00:00Z
P035,Cooling Memory Foam Pillow Pair,"Contour memory foam pillow set with cooling gel layer, bamboo cover, and neck support",Home & Kitchen,DreamComfort,54.99,4.4,true,"pillow,memory-foam,cooling,bamboo,sleep",2026-01-23T00:00:00Z
P036,Pre-Seasoned Cast Iron Skillet,"12-inch cast iron skillet for searing, baking, grilling, and everyday stovetop cooking",Home & Kitchen,ChefPro,36.99,4.8,true,"skillet,cast-iron,cooking,seasoned,kitchen",2026-01-29T00:00:00Z
P037,Gooseneck Electric Kettle,"Variable temperature gooseneck kettle with hold mode, fast heating, and stainless steel interior",Home & Kitchen,BrewMaster,59.99,4.5,true,"kettle,electric,gooseneck,coffee,pour-over",2026-02-05T00:00:00Z
P038,Bamboo Cutting Board Trio,"Three-piece bamboo cutting board set with juice grooves, easy-grip edges, and food-safe finish",Home & Kitchen,HomeEssentials,26.99,4.3,true,"cutting-board,bamboo,kitchen,organic,prep",2026-02-12T00:00:00Z
P039,LiDAR Robot Vacuum Plus,"Smart robot vacuum with LiDAR mapping, app zones, carpet boost, and self-emptying base",Home & Kitchen,SmartLife,279.99,4.6,true,"vacuum,robot,lidar,smart,self-emptying",2026-02-19T00:00:00Z
P040,Matte Ceramic Dinnerware Set,"16-piece ceramic dinner set with plates, bowls, mugs, and modern matte glaze finish",Home & Kitchen,HomeEssentials,82.99,4.4,true,"dinner-set,ceramic,plates,bowls,matte",2026-02-26T00:00:00Z
P041,Large Room HEPA Air Purifier,"True HEPA air purifier with air quality sensor, auto mode, sleep mode, and washable pre-filter",Home & Kitchen,SmartLife,169.99,4.5,true,"air-purifier,hepa,filter,smart,clean-air",2026-03-04T00:00:00Z
P042,Reusable Silicone Baking Mats,"Non-stick reusable silicone baking mats for cookies, pastries, and sheet-pan cooking",Home & Kitchen,ChefPro,17.99,4.3,true,"baking,mat,silicone,non-stick,reusable",2026-03-09T00:00:00Z
P043,Insulated French Press,Double-wall stainless steel French press with fine mesh filtration and heat-retaining design,Home & Kitchen,BrewMaster,37.99,4.4,true,"french-press,coffee,stainless-steel,filtration",2026-03-15T00:00:00Z
P044,Breathable Weighted Blanket,"15 lb weighted blanket with glass bead filling, breathable cotton shell, and removable cover",Home & Kitchen,DreamComfort,72.99,4.6,true,"blanket,weighted,cotton,sleep,glass-beads",2026-03-21T00:00:00Z
P045,Five-Speed Hand Mixer,"Lightweight electric hand mixer with stainless steel beaters, 5 speeds, and easy eject button",Home & Kitchen,ChefPro,31.99,4.2,true,"mixer,electric,hand,baking,kitchen",2026-03-27T00:00:00Z
P046,Soy Candle Gift Collection,"Luxury soy wax candle set with essential oil scents, cotton wicks, and reusable glass jars",Home & Kitchen,HomeEssentials,44.99,4.5,true,"candle,scented,soy-wax,gift,essential-oils",2026-04-01T00:00:00Z
P047,Quick-Change Adjustable Dumbbells,Pair of adjustable dumbbells with compact tray system and weight range for home strength training,Sports,IronForce,239.99,4.7,true,"dumbbell,adjustable,weights,strength,home-gym",2026-01-07T00:00:00Z
P048,Premium Alignment Yoga Mat,"Extra-thick non-slip yoga mat with alignment guides, textured surface, and carrying strap",Sports,FlexFit,36.99,4.5,true,"yoga,mat,non-slip,alignment,fitness",2026-01-13T00:00:00Z
P049,Resistance Bands Training Kit,"Five-level resistance band kit with handles, door anchor, ankle straps, and carry pouch",Sports,FlexFit,27.99,4.4,true,"resistance-bands,fitness,strength,portable,exercise",2026-01-19T00:00:00Z
P050,Deep Tissue Foam Roller,"High-density foam roller for muscle recovery, mobility work, and deep tissue massage",Sports,FlexFit,22.99,4.3,true,"foam-roller,recovery,massage,muscle,fitness",2026-01-26T00:00:00Z
P051,Speed Jump Rope Pro,"Adjustable cable jump rope with smooth ball bearings, aluminum handles, and speed training design",Sports,IronForce,16.99,4.2,true,"jump-rope,speed,cardio,fitness,cable",2026-02-03T00:00:00Z
P052,MIPS Road Cycling Helmet,"Lightweight cycling helmet with MIPS protection, airflow vents, and adjustable dial fit",Sports,TrailBlaze,89.99,4.6,true,"helmet,cycling,mips,safety,aerodynamic",2026-02-10T00:00:00Z
P053,Doorway Pull-Up Bar Plus,"Heavy-duty doorway pull-up bar with padded grips, multiple grip positions, and no-screw setup",Sports,IronForce,34.99,4.3,true,"pull-up,bar,doorway,strength,exercise",2026-02-17T00:00:00Z
P054,Graphite Tennis Racket,"Professional graphite tennis racket with vibration dampening, balanced frame, and performance grip",Sports,ProCourt,139.99,4.5,true,"tennis,racket,graphite,professional,sport",2026-02-24T00:00:00Z
P055,Core Ab Roller Kit,"Ab roller wheel with wide stable wheel, non-slip handles, and included knee pad",Sports,IronForce,19.99,4.2,true,"ab-roller,core,exercise,strength,fitness",2026-03-02T00:00:00Z
P056,Anti-Fog Swim Goggles,"Competition swim goggles with anti-fog coating, UV protection, and adjustable silicone strap",Sports,AquaPro,24.99,4.4,true,"goggles,swimming,anti-fog,uv,competition",2026-03-08T00:00:00Z
P057,Cast Iron Kettlebell 35 lb,"Solid cast iron kettlebell with powder-coated finish, wide handle, and flat bottom",Sports,IronForce,47.99,4.7,true,"kettlebell,cast-iron,strength,weight,exercise",2026-03-14T00:00:00Z
P058,Composite Basketball Official Size,Official size composite basketball designed for indoor and outdoor court play,Sports,ProCourt,32.99,4.3,true,"basketball,composite,indoor,outdoor,sport",2026-03-20T00:00:00Z
P059,Carbon Trekking Poles,"Carbon fiber trekking poles with cork grips, quick-lock adjustment, and removable tips",Sports,TrailBlaze,69.99,4.5,true,"trekking-poles,hiking,carbon-fiber,outdoor,cork",2026-03-26T00:00:00Z
P060,Anti-Burst Exercise Ball 65cm,"Stability exercise ball with anti-burst construction, textured grip, and included hand pump",Sports,FlexFit,18.99,4.2,true,"exercise-ball,stability,core,fitness,anti-burst",2026-04-02T00:00:00Z
P061,Leather Boxing Gloves,"Training boxing gloves with wrist support, breathable lining, and multi-layer foam padding",Sports,IronForce,42.99,4.4,true,"boxing,gloves,training,leather,combat",2026-04-08T00:00:00Z
P062,Waterproof Camping Tent 4P,"Lightweight four-person camping tent with rainfly, quick setup poles, and ventilation windows",Sports,TrailBlaze,119.99,4.5,true,"tent,camping,waterproof,outdoor,lightweight",2026-04-14T00:00:00Z
P063,Modern Algorithms Handbook,"Comprehensive programming book covering algorithms, data structures, complexity, and practical examples",Books,TechPress,46.99,4.8,true,"programming,algorithms,data-structures,coding,computer-science",2026-01-03T00:00:00Z
P064,Machine Learning with Python,"Beginner-friendly machine learning guide with Python examples, model training, and evaluation workflows",Books,TechPress,41.99,4.6,true,"machine-learning,python,ai,data-science,tutorial",2026-01-09T00:00:00Z
P065,Global Spice Kitchen,"Recipe book exploring spice blends, regional cuisines, marinades, and flavor pairing techniques",Books,CulinaryBooks,27.99,4.4,true,"cooking,spices,cuisine,recipes,food",2026-01-15T00:00:00Z
P066,Digital Photography Complete Guide,"Photography guide covering camera basics, lighting, composition, editing, and advanced shooting techniques",Books,CreativePress,36.99,4.5,true,"photography,digital,camera,techniques,art",2026-01-21T00:00:00Z
P067,Personal Finance Playbook,"Practical finance book covering budgeting, investing, debt control, and long-term wealth planning",Books,WealthBooks,25.99,4.3,true,"finance,investing,wealth,personal-finance,money",2026-01-28T00:00:00Z
P068,Cloud-Native Architecture Patterns,"Guide to designing scalable, resilient, observable cloud applications and distributed systems",Books,TechPress,52.99,4.7,true,"cloud,architecture,devops,aws,scalable",2026-02-04T00:00:00Z
P069,Mindful Leadership at Work,"Leadership book focused on mindfulness, emotional intelligence, team communication, and decision-making",Books,BusinessBooks,29.99,4.2,true,"leadership,mindfulness,business,management,emotional-intelligence",2026-02-11T00:00:00Z
P070,React and Next.js Projects,Hands-on web development book for building modern React and Next.js frontend applications,Books,TechPress,38.99,4.6,true,"react,nextjs,web-development,javascript,frontend",2026-02-18T00:00:00Z
P071,Organic Gardening Basics,"Beginner guide to organic gardening, composting, soil health, seed starting, and sustainable growing",Books,GreenBooks,21.99,4.4,true,"gardening,organic,sustainable,plants,composting",2026-02-25T00:00:00Z
P072,Ancient Empires Explained,Historical overview of ancient civilizations from Egypt and Greece to Rome and Mesopotamia,Books,HistoryPress,34.99,4.5,true,"history,ancient,civilizations,egypt,rome",2026-03-04T00:00:00Z
P073,Python Data Engineering,"Practical book on ETL pipelines, orchestration, data quality, and scalable Python workflows",Books,TechPress,44.99,4.5,true,"data-engineering,python,etl,pipelines,big-data",2026-03-11T00:00:00Z
P074,Creative Storytelling Workshop,"Writing workbook with exercises for character development, plot structure, scenes, and dialogue",Books,CreativePress,22.99,4.3,true,"writing,creative,storytelling,fiction,workshop",2026-03-18T00:00:00Z
P075,Vitamin C Glow Serum,Brightening vitamin C serum with hyaluronic acid and antioxidants for radiant-looking skin,Beauty,GlowLab,30.99,4.6,true,"serum,vitamin-c,brightening,skincare,hyaluronic",2026-01-06T00:00:00Z
P076,Argan Repair Shampoo,"Sulfate-free shampoo with argan oil, keratin, and strengthening ingredients for dry damaged hair",Beauty,PureHair,18.99,4.3,true,"shampoo,hair,repair,argan-oil,keratin",2026-01-12T00:00:00Z
P077,Peptide Retinol Night Cream,"Anti-aging night cream with retinol, peptides, and moisturizing ingredients for smoother skin",Beauty,GlowLab,42.99,4.5,true,"retinol,night-cream,anti-aging,peptides,skincare",2026-01-18T00:00:00Z
P078,Daily SPF 50 Moisturizer,Lightweight broad-spectrum SPF 50 moisturizer with non-greasy finish for daily use,Beauty,SunShield,26.99,4.4,true,"moisturizer,spf,sunscreen,daily,skincare",2026-01-24T00:00:00Z
P079,Organic Lip Balm Variety Pack,"Four-pack organic lip balm set with beeswax, shea butter, and naturally flavored formulas",Beauty,PureHair,13.99,4.2,true,"lip-balm,organic,beeswax,shea-butter,natural",2026-01-30T00:00:00Z
P080,Charcoal Pore Cleansing Mask,"Activated charcoal face mask for deep cleansing, oil control, and pore-refining skincare routines",Beauty,GlowLab,19.99,4.3,true,"face-mask,charcoal,cleansing,pore,skincare",2026-02-06T00:00:00Z
P081,Matte Hair Styling Clay,"Professional matte hair clay with strong hold, natural finish, and easy washout formula",Beauty,PureHair,15.99,4.2,true,"hair,styling,clay,matte,grooming",2026-02-13T00:00:00Z
P082,Rose Water Hydrating Toner,"Organic rose water toner for hydrating, refreshing, and balancing skin after cleansing",Beauty,GlowLab,16.99,4.4,true,"toner,rose-water,organic,hydrating,skincare",2026-02-20T00:00:00Z
P083,Coconut Body Butter,"Rich coconut oil body butter with vitamin E, shea butter, and long-lasting moisture",Beauty,PureHair,23.99,4.5,true,"body-butter,coconut,vitamin-e,moisturizing,skin",2026-02-27T00:00:00Z
P084,Smart Sonic Toothbrush,"Rechargeable sonic toothbrush with five cleaning modes, pressure reminder, and smart timer",Beauty,SmartLife,52.99,4.6,true,"toothbrush,electric,sonic,rechargeable,dental",2026-03-05T00:00:00Z
P085,Tea Tree Spot Treatment,"Acne spot treatment with tea tree oil, salicylic acid, and fast-drying gel texture",Beauty,GlowLab,14.99,4.2,true,"acne,tea-tree,treatment,salicylic-acid,skincare",2026-03-12T00:00:00Z
P086,Professional Nail Grooming Kit,"Complete manicure and pedicure tool kit with clippers, files, cuticle tools, and travel case",Beauty,PureHair,29.99,4.3,true,"nail-care,manicure,pedicure,tools,grooming",2026-03-19T00:00:00Z
P087,AMOLED Health Smartwatch,"Smartwatch with ECG, blood oxygen, workout tracking, always-on AMOLED display, and GPS",Electronics,FitGear,189.99,4.7,true,"smartwatch,ecg,amoled,gps,health",2026-04-05T00:00:00Z
P088,Quiet Wireless Keyboard Mouse Combo,"Slim wireless keyboard and mouse combo with quiet keys, compact receiver, and long battery life",Electronics,KeyMaster,49.99,4.3,true,"keyboard,mouse,wireless,combo,quiet",2026-04-12T00:00:00Z
P089,Fleece Zip Hoodie,"Soft fleece full-zip hoodie with ribbed cuffs, kangaroo pockets, and warm casual fit",Clothing,UrbanWear,52.99,4.4,true,"hoodie,fleece,zip-up,casual,warm",2026-04-18T00:00:00Z
P090,German Steel Chef Knife,"8-inch professional chef knife with full tang, ergonomic handle, and precision sharpened edge",Home & Kitchen,ChefPro,62.99,4.8,true,"knife,chef,german-steel,kitchen,sharp",2026-04-24T00:00:00Z
P091,Fabric Loop Resistance Bands,"Five-level fabric resistance loop band set for glute, leg, mobility, and strength workouts",Sports,FlexFit,20.99,4.3,true,"resistance,bands,loop,fabric,glutes",2026-04-30T00:00:00Z
P092,Cybersecurity Field Guide,"Practical cybersecurity guide covering threat detection, network defense, hardening, and incident response",Books,TechPress,39.99,4.5,true,"cybersecurity,network,security,defense,hacking",2026-04-06T00:00:00Z
P093,Hydrating Hyaluronic Serum,"Pure hyaluronic acid serum for intense hydration, plumping effect, and smoother skin texture",Beauty,GlowLab,24.99,4.6,true,"hyaluronic-acid,serum,hydration,plumping,skincare",2026-04-10T00:00:00Z
P094,Encrypted Portable SSD 1TB,"Compact 1TB portable SSD with USB 3.2, fast transfers, shock resistance, and hardware encryption",Electronics,TechConnect,94.99,4.5,true,"ssd,portable,storage,usb,encryption",2026-04-16T00:00:00Z
P095,Merino Winter Beanie,Chunky knit merino wool beanie with soft fleece lining for warmth in cold weather,Clothing,NordicKnit,27.99,4.3,true,"beanie,wool,winter,knit,warm",2026-04-22T00:00:00Z
P096,Variable Speed Immersion Blender,"Powerful handheld immersion blender with whisk attachment, variable speed dial, and stainless shaft",Home & Kitchen,ChefPro,39.99,4.4,true,"blender,immersion,handheld,kitchen,variable-speed",2026-04-28T00:00:00Z
P097,Outdoor Climbing Chalk Bag,"Drawstring climbing chalk bag with adjustable waist belt, brush loop, and zippered pocket",Sports,TrailBlaze,18.99,4.2,true,"climbing,chalk,bag,bouldering,outdoor",2026-05-02T00:00:00Z
P098,Web3 Smart Contract Guide,"Developer guide to blockchain applications, smart contracts, Ethereum tooling, and decentralized apps",Books,TechPress,43.99,4.4,true,"blockchain,smart-contracts,ethereum,web3,dapps",2026-05-04T00:00:00Z
P099,Collagen Firming Moisturizer,"Marine collagen moisturizer with niacinamide, peptides, and lightweight glow finish",Beauty,GlowLab,33.99,4.5,true,"collagen,moisturizer,niacinamide,firmness,skincare",2026-05-06T00:00:00Z
P100,Foldable Travel ANC Headphones,"Travel headphones with adaptive ANC, foldable frame, quick charge, and comfort ear cushions",Electronics,SoundMax,139.99,4.6,true,"headphones,travel,anc,foldable,portable",2026-05-08T00:00:00Z
